Date,AAPL,WMT,TSLA,GE,`MZN,DB
2012-01-03 00:00:00-05:00,12.33321475982666,15.1538724899292,1.871999979019165,67.77739715576172,,26.52110481262207
2012-01-04 00:00:00-05:00,12.399496078491211,14.99813175201416,1.8473329544067383,68.51570892333984,,25.722078323364258
2012-01-05 00:00:00-05:00,12.537156105041504,14.92529010772705,1.8079999685287476,68.47882843017578,,24.1240177154541
2012-01-06 00:00:00-05:00,12.66821575164795,14.819787979125977,1.7940000295639038,68.84796905517578,,22.812280654907227
2012-01-09 00:00:00-05:00,12.648120880126953,14.865006446838379,1.8166669607162476,69.6231689453125,,22.39944839477539
2012-01-10 00:00:00-05:00,12.693408966064453,14.82983684539795,1.841333031654358,69.10638427734375,,23.418209075927734
2012-01-11 00:00:00-05:00,12.67271614074707,14.920265197753906,1.8819999694824219,69.69701385498047,,23.890968322753906
2012-01-12 00:00:00-05:00,12.637927055358887,14.945380210876465,1.8833329677581787,69.8816146850586,,24.636730194091797
2012-01-13 00:00:00-05:00,12.590538024902344,14.955431938171387,1.519333004951477,69.54935455322266,,24.450286865234375
2012-01-17 00:00:00-05:00,12.737195014953613,15.033296585083008,1.773332953453064,69.18022918701172,,25.009605407714844
2012-01-18 00:00:00-05:00,12.86945915222168,15.073490142822266,1.7873330116271973,70.2138442993164,,25.968446731567383
2012-01-19 00:00:00-05:00,12.828667640686035,15.224191665649414,1.784000039100647,70.69376373291016,,27.972673416137695
2012-01-20 00:00:00-05:00,12.605230331420898,15.324668884277344,1.773332953453064,70.69376373291016,,28.2989444732666
2012-01-23 00:00:00-05:00,12.818475723266602,15.299553871154785,1.7846670150756836,69.91849517822266,,28.931507110595703
2012-01-24 00:00:00-05:00,12.608534812927246,15.420123100280762,1.8279999494552612,69.54935455322266,,28.465408325195312
2012-01-25 00:00:00-05:00,13.395798683166504,15.440215110778809,1.8646670579910278,70.61993408203125,,29.051359176635742
2012-01-26 00:00:00-05:00,13.334918022155762,15.314623832702637,1.929332971572876,70.3984146118164,,28.89821434020996
2012-01-27 00:00:00-05:00,13.414392471313477,15.249316215515137,1.9553329944610596,70.25076293945312,,29.590709686279297
2012-01-30 00:00:00-05:00,13.586241722106934,15.397518157958984,1.9713330268859863,69.77084350585938,,28.392160415649414
2012-01-31 00:00:00-05:00,13.690312385559082,15.412577629089355,1.937999963760376,69.06945037841797,,28.425460815429688
2012-02-01 00:00:00-05:00,13.68161678314209,15.618550300598145,1.972000002861023,69.29097747802734,,29.643980026245117
2012-02-02 00:00:00-05:00,13.64952278137207,15.558262825012207,2.016666889190674,69.21711730957031,,29.47751235961914
2012-02-03 00:00:00-05:00,13.78628158569336,15.5808744430542,2.076667070388794,70.2138442993164,,29.95693016052246
2012-02-06 00:00:00-05:00,13.91494083404541,15.543195724487305,2.119999885559082,70.3245849609375,,29.424245834350586
2012-02-07 00:00:00-05:00,14.060704231262207,15.49547290802002,2.1066670417785645,70.80449676513672,,29.85704803466797
2012-02-08 00:00:00-05:00,14.29612922668457,15.477890014648438,2.128667116165161,71.0259780883789,,30.80257225036621
2012-02-09 00:00:00-05:00,14.790684700012207,15.563295364379883,2.171999931335449,70.61993408203125,,30.90245246887207
2012-02-10 00:00:00-05:00,14.798182487487793,15.548223495483398,2.0733330249786377,69.69701385498047,,29.38429069519043
2012-02-13 00:00:00-05:00,15.073502540588379,15.52059555053711,2.0993330478668213,70.3984146118164,,29.65730094909668
2012-02-14 00:00:00-05:00,15.279234886169434,15.628592491149902,2.2113330364227295,69.91849517822266,,28.791683197021484
2012-02-15 00:00:00-05:00,14.92564582824707,15.513051986694336,2.240000009536743,69.2540512084961,,28.598583221435547
2012-02-16 00:00:00-05:00,15.061796188354492,15.583389282226562,2.2786669731140137,70.17694854736328,,29.3709716796875
2012-02-17 00:00:00-05:00,15.059102058410645,15.69390869140625,2.3313329219818115,71.17363739013672,,29.690587997436523
2012-02-21 00:00:00-05:00,15.440888404846191,15.088561058044434,2.299999952316284,71.65357208251953,,29.417591094970703
2012-02-22 00:00:00-05:00,15.38661003112793,14.71932315826416,2.2813329696655273,71.57971954345703,,29.104631423950195
2012-02-23 00:00:00-05:00,15.487074851989746,14.704245567321777,2.302000045776367,71.9149169921875,,29.810443878173828
2012-02-24 00:00:00-05:00,15.667624473571777,14.767043113708496,2.25,71.65423583984375,,31.16879653930664
2012-02-27 00:00:00-05:00,15.768092155456543,14.684155464172363,2.2413330078125,71.0210952758789,,31.095542907714844
2012-02-28 00:00:00-05:00,16.057506561279297,14.802205085754395,2.253999948501587,71.35626220703125,,31.39518165588379
2012-02-29 00:00:00-05:00,16.268339157104492,14.839890480041504,2.2273330688476562,70.94660186767578,,31.12217903137207
2012-03-01 00:00:00-05:00,16.329221725463867,14.774579048156738,2.2939999103546143,71.20731353759766,,31.901235580444336
2012-03-02 00:00:00-05:00,16.350513458251953,14.822304725646973,2.2693328857421875,70.648681640625,,31.388525009155273
2012-03-05 00:00:00-05:00,15.990020751953125,14.920265197753906,2.251332998275757,70.2017593383789,,31.042274475097656
2012-03-06 00:00:00-05:00,15.903059005737305,14.812253952026367,2.2073330879211426,68.60033416748047,,29.0180721282959
2012-03-07 00:00:00-05:00,15.915947914123535,15.035805702209473,2.2079999446868896,69.90384674072266,,29.89700698852539
2012-03-08 00:00:00-05:00,16.254846572875977,15.113687515258789,2.204667091369629,70.87213134765625,,31.408496856689453
2012-03-09 00:00:00-05:00,16.350215911865234,15.192082405090332,2.315999984741211,70.90936279296875,,30.755958557128906
