Date,AAPL,WMT,TSLA,GE,AMZN,DB
2012-01-04 00:00:00-05:00,0.0053596676140402165,-0.010330278871830302,-0.013264414195889479,0.010834612662346083,-0.008526468333701725,-0.03059112445074183
2012-01-05 00:00:00-05:00,0.011040584688894392,-0.004868228134396198,-0.02152170808848125,-0.0005396480189132279,0.0005632028267119116,-0.0641416186796199
2012-01-06 00:00:00-05:00,0.010399513015137155,-0.007093782519804509,-0.007773464447392079,0.005376327764457971,0.027762596388696395,-0.05590907644403069
2012-01-09 00:00:00-05:00,-0.0015870503664750636,0.00304657638707071,0.012555701753258278,0.011197224068581983,-0.02242798401524989,-0.018262599233973068
2012-01-10 00:00:00-05:00,0.00357384558217197,-0.0023687997155473037,0.013486301172495878,-0.007450610291133947,0.0043587167635209525,0.044477470615896166
2012-01-11 00:00:00-05:00,-0.001631306828456307,0.006078958773661456,0.02184524190600374,0.008510466059622432,-0.0024564899769712297,0.019986609295924725
2012-01-12 00:00:00-05:00,-0.0027491963852651164,0.0016820585746768924,0.0007080374318354054,0.002644571637402008,-0.01674074432912262,0.030738013461248926
2012-01-13 00:00:00-05:00,-0.0037565678002498973,0.0006722105684417703,-0.21477163635965124,-0.0047654076605276475,0.014054056393518645,-0.007596556125397899
2012-01-17 00:00:00-05:00,0.011580645707714584,0.005193130168792213,0.15458937444735504,-0.005321852435512184,0.017996559771050847,0.02261824934166554
2012-01-18 00:00:00-05:00,0.010330542418599969,0.0026698778734999627,0.007863770686175053,0.014830718265580852,0.04193553634992424,0.037622020418153185
2012-01-19 00:00:00-05:00,-0.0031742990586423364,0.00994832756308549,-0.0018665150781779912,0.0068117498060031485,0.026102680324318523,0.07434601205692844
2012-01-20 00:00:00-05:00,-0.0175706372876585,0.006578030851013413,-0.005997255607997091,0.0,-0.018268154604153212,0.011596488600191296
2012-01-23 00:00:00-05:00,0.016775336821264288,-0.0016405178870533194,0.006371051186389258,-0.011026498978013237,-0.025676502828605844,0.022106571719610772
2012-01-24 00:00:00-05:00,-0.016513673443313004,0.007849870497711816,0.023990593728050517,-0.005294116658058624,0.004878270178795889,-0.016241538586492753
2012-01-25 00:00:00-05:00,0.06056747403852137,0.0013023108228193772,0.01986007059287694,0.01527560301388638,0.004268945683268439,0.020375726881636413
2012-01-26 00:00:00-05:00,-0.004555259352645212,-0.008167049490702677,0.03409181662114991,-0.0031414978208726316,0.028969281526630107,-0.005285661332743769
2012-01-27 00:00:00-05:00,0.005942541430400401,-0.0042736382552185665,0.013386175984792612,-0.0020999004958952446,0.010548345324020932,0.02368071044385301
2012-01-30 00:00:00-05:00,0.012729373234273342,0.009671115500843496,0.008149468729864932,-0.006854525661272254,-0.016618905235471593,-0.04134718322076772
2012-01-31 00:00:00-05:00,0.0076303257265639465,0.0009783103214831255,-0.017053482541269642,-0.010103680963161927,0.011847319781410388,0.0011718500355313408
2012-02-01 00:00:00-05:00,-0.0006352969205824999,0.013275481384168848,0.01739176286218884,0.003201515992704599,-0.0801713504780668,0.041973760346080566
2012-02-02 00:00:00-05:00,-0.0023479028385454633,-0.0038670915612022557,0.02239783608585051,-0.0010660702883085245,0.012514795337759146,-0.005631132812115367
2012-02-03 00:00:00-05:00,0.009969099752110164,0.0014514380057024335,0.029318144822844942,0.01429742205298847,0.03227127661263135,0.016132880663661493
2012-02-06 00:00:00-05:00,0.0092890641014062,-0.00242033729969894,0.020651796162392388,0.001575948800961444,-0.024487523517598857,-0.017941732052762317
2012-02-07 00:00:00-05:00,0.010420558384367874,-0.0030756097001808243,-0.0063089371522689185,0.006801059684719613,0.005717024808430516,0.01460209784013244
2012-02-08 00:00:00-05:00,0.0166051824862921,-0.0011354789266973097,0.010388919238713943,0.00312340120838351,0.006979210125387847,0.03117702443466146
2012-02-09 00:00:00-05:00,0.034008622083283764,0.005502235206839165,0.020152353669375636,-0.005733672510247254,-0.0026994102148703014,0.003237348164652829
2012-02-10 00:00:00-05:00,0.0005061534624540037,-0.0009684029582552472,-0.046490901099337636,-0.013154766990760739,0.003022870872444512,-0.050375097159735385
2012-02-13 00:00:00-05:00,0.01843449121841195,-0.0017786230971904204,0.012462228672274044,0.010013269169888171,0.03208715453560028,0.009247744956579648
2012-02-14 00:00:00-05:00,0.013556371692329823,0.006934873164983108,0.051975819557947146,-0.006839988534955004,-0.001514860238872105,-0.029621708740688615
2012-02-15 00:00:00-05:00,-0.023413911899187945,-0.007420289362044295,0.012880352535364617,-0.009549330425572199,-0.03635595664612148,-0.006729257071160664
2012-02-16 00:00:00-05:00,0.009081063585406007,0.00452278069692053,0.017114740946180134,0.013238138454889713,-0.024918987869561236,0.026649978072702536
2012-02-17 00:00:00-05:00,-0.0001789510509696602,0.007067343921973922,0.022849562457707907,0.01410314018170046,0.014182284962038279,0.010823005328603386
2012-02-21 00:00:00-05:00,0.02503623561330137,-0.03933619202963439,-0.013531071325257675,0.006720091817238065,-0.001315943163754481,-0.009237391435129071
2012-02-22 00:00:00-05:00,-0.0035219876727040434,-0.02477547008212652,-0.008149194251430136,-0.0010311140262502319,-0.009260305714911687,-0.010695320489501024
2012-02-23 00:00:00-05:00,0.006508763041178524,-0.0010242166529970057,0.009018422233543927,0.004671925058103677,-0.00940283575263765,0.023961352882225714
2012-02-24 00:00:00-05:00,0.011590470349764535,0.004261613241407825,-0.022848113968838533,-0.0036318670756414284,0.0013407167985621737,0.044558691204818306
2012-02-27 00:00:00-05:00,0.006392270467639925,-0.005629215677021617,-0.0038594345734308216,-0.008874789168814652,-0.0033551149679347447,-0.0023527443360024684
